amount,transaction_type,merchant_category,device_type,location,hour,customer_age,transaction_frequency,is_fraud
23239,Online,Food,Mobile,Delhi,9,65,3,0
4006,POS,Grocery,Mobile,Bangalore,3,35,41,0
37169,Online,Luxury,Mobile,Bangalore,5,48,41,0
26364,ATM,Luxury,Mobile,Mumbai,10,38,37,0
6546,Online,Electronics,Desktop,Chennai,19,68,12,0
6058,ATM,Travel,Desktop,Chennai,10,28,32,0
1115,ATM,Electronics,Mobile,Delhi,11,25,39,0
41190,ATM,Grocery,Mobile,Pune,13,69,23,0
11516,Online,Travel,Mobile,Bangalore,7,25,4,0
38657,Online,Electronics,Desktop,Pune,5,61,20,0
43651,POS,Grocery,Mobile,Chennai,3,48,36,0
37320,ATM,Food,Laptop,Pune,1,69,38,0
42538,ATM,Grocery,Desktop,Pune,19,56,3,0
2778,ATM,Travel,Desktop,Delhi,6,23,35,0
11622,POS,Luxury,Desktop,Chennai,19,55,21,0
34490,Online,Travel,Laptop,Chennai,6,45,8,0
3261,Online,Luxury,Desktop,Delhi,11,33,16,0
15564,Online,Food,Desktop,Bangalore,4,59,34,0
8919,ATM,Electronics,Desktop,Delhi,1,56,13,0
13439,POS,Grocery,Mobile,Mumbai,18,31,8,0
31521,ATM,Travel,Mobile,Pune,1,21,30,0
12661,Online,Grocery,Mobile,Hyderabad,8,37,47,0
17545,Online,Food,Desktop,Chennai,16,19,9,0
38323,POS,Grocery,Laptop,Delhi,21,33,22,0
38694,ATM,Food,Laptop,Mumbai,14,19,29,0
40135,POS,Luxury,Mobile,Hyderabad,9,54,44,0
21059,Online,Luxury,Desktop,Pune,8,19,38,0
35592,Online,Luxury,Desktop,Delhi,11,18,46,0
11280,POS,Food,Laptop,Mumbai,6,58,47,0
35890,Online,Travel,Mobile,Delhi,8,70,45,0
10911,ATM,Electronics,Desktop,Chennai,0,27,10,0
37382,ATM,Electronics,Mobile,Bangalore,14,24,42,0
1730,POS,Food,Desktop,Bangalore,15,60,22,0
38714,ATM,Grocery,Laptop,Pune,23,70,41,1
6996,ATM,Luxury,Mobile,Mumbai,18,69,32,0
26156,ATM,Grocery,Mobile,Chennai,7,67,3,0
49392,POS,Grocery,Laptop,Bangalore,19,22,15,0
47412,POS,Electronics,Mobile,Chennai,10,18,26,0
16867,Online,Grocery,Desktop,Bangalore,17,50,2,0
36132,Online,Luxury,Laptop,Chennai,3,69,22,0
49025,ATM,Food,Laptop,Delhi,6,36,48,0
44103,POS,Food,Desktop,Bangalore,5,29,42,0
42829,POS,Food,Laptop,Chennai,20,52,1,0
36558,ATM,Grocery,Laptop,Bangalore,20,19,30,0
34686,ATM,Grocery,Desktop,Pune,18,45,16,0
21543,ATM,Electronics,Desktop,Bangalore,9,43,45,0
5663,ATM,Travel,Laptop,Mumbai,20,62,34,0
16424,ATM,Electronics,Mobile,Delhi,7,46,27,0
2628,POS,Travel,Laptop,Hyderabad,21,22,25,0
35862,Online,Electronics,Laptop,Delhi,3,19,34,0
5013,Online,Grocery,Laptop,Pune,17,28,6,0
3541,ATM,Luxury,Desktop,Mumbai,8,32,50,0
40896,ATM,Travel,Desktop,Bangalore,17,63,45,0
21967,Online,Food,Laptop,Delhi,14,26,16,0
13780,Online,Grocery,Laptop,Delhi,10,31,40,0
1878,ATM,Grocery,Mobile,Bangalore,15,66,37,0
123,Online,Travel,Laptop,Pune,19,45,44,0
10376,POS,Food,Desktop,Pune,14,51,44,0
11039,ATM,Travel,Desktop,Mumbai,18,39,39,0
48102,Online,Travel,Laptop,Mumbai,1,56,37,0
40426,POS,Electronics,Desktop,Delhi,3,30,5,0
30527,ATM,Electronics,Laptop,Chennai,13,56,48,0
36545,Online,Travel,Desktop,Hyderabad,9,70,19,0
43266,POS,Luxury,Laptop,Bangalore,2,49,42,0
37359,ATM,Luxury,Mobile,Bangalore,4,29,10,0
17147,Online,Electronics,Mobile,Hyderabad,1,53,14,0
39023,POS,Food,Laptop,Mumbai,19,26,42,0
34426,POS,Travel,Desktop,Delhi,23,68,15,0
2764,POS,Food,Laptop,Delhi,15,46,50,0
18086,Online,Electronics,Desktop,Bangalore,13,70,3,0
34704,ATM,Food,Desktop,Delhi,23,36,49,1
19293,POS,Food,Desktop,Pune,1,32,41,0
20818,ATM,Luxury,Mobile,Pune,18,54,15,0
23961,POS,Grocery,Laptop,Delhi,19,45,31,0
33225,POS,Electronics,Desktop,Chennai,5,32,50,0
41238,Online,Luxury,Desktop,Bangalore,8,44,26,0
39588,Online,Travel,Desktop,Delhi,15,26,13,0
33333,POS,Travel,Laptop,Delhi,9,24,31,0
2531,ATM,Electronics,Laptop,Bangalore,23,66,40,0
9926,POS,Grocery,Desktop,Bangalore,21,32,6,0
49564,POS,Food,Desktop,Chennai,22,50,39,0
10591,ATM,Food,Laptop,Hyderabad,13,55,26,0
237,Online,Food,Mobile,Delhi,3,52,9,0
47222,ATM,Grocery,Laptop,Delhi,8,19,44,0
3217,Online,Electronics,Mobile,Mumbai,2,26,18,0
15385,POS,Electronics,Laptop,Chennai,23,70,25,0
41201,Online,Travel,Desktop,Pune,17,34,50,0
10398,Online,Electronics,Laptop,Bangalore,17,20,35,0
12875,POS,Grocery,Desktop,Hyderabad,10,57,30,0
10533,ATM,Electronics,Laptop,Hyderabad,3,21,44,0
22503,ATM,Grocery,Desktop,Bangalore,5,34,20,0
5674,Online,Grocery,Desktop,Pune,10,26,45,0
15316,POS,Travel,Laptop,Delhi,8,27,18,0
47425,Online,Electronics,Mobile,Chennai,22,23,2,0
40756,POS,Grocery,Laptop,Mumbai,22,38,47,0
32311,POS,Travel,Mobile,Delhi,21,51,43,0
16985,POS,Luxury,Laptop,Chennai,18,60,9,0
23643,POS,Food,Mobile,Delhi,9,62,26,0
25464,ATM,Electronics,Desktop,Chennai,0,49,37,0
39615,Online,Food,Mobile,Hyderabad,21,39,41,0
49354,Online,Food,Desktop,Bangalore,9,59,37,0
15078,POS,Travel,Desktop,Chennai,18,23,8,0
37155,Online,Electronics,Mobile,Mumbai,21,24,24,0
22293,ATM,Luxury,Laptop,Mumbai,20,40,13,0
13208,POS,Grocery,Mobile,Mumbai,7,67,31,0
1900,POS,Luxury,Mobile,Bangalore,13,28,35,0
9797,Online,Travel,Mobile,Hyderabad,13,22,25,0
22742,POS,Grocery,Desktop,Pune,20,33,44,0
47762,POS,Grocery,Mobile,Chennai,19,42,10,0
3833,ATM,Grocery,Mobile,Bangalore,8,35,40,0
36514,Online,Travel,Mobile,Chennai,2,33,27,0
25839,Online,Food,Laptop,Pune,9,67,26,0
37215,Online,Luxury,Desktop,Pune,23,25,24,1
9569,POS,Electronics,Laptop,Delhi,22,42,30,0
37917,Online,Electronics,Mobile,Delhi,2,28,38,0
41069,POS,Food,Desktop,Chennai,10,54,15,0
5922,ATM,Luxury,Desktop,Hyderabad,23,54,30,0
14596,POS,Food,Mobile,Bangalore,15,35,34,0
26794,ATM,Luxury,Laptop,Delhi,8,70,21,0
24624,ATM,Luxury,Desktop,Pune,2,70,43,0
32588,ATM,Electronics,Desktop,Hyderabad,5,44,44,0
18210,ATM,Food,Mobile,Delhi,16,67,16,0
47678,Online,Luxury,Desktop,Pune,23,25,18,0
41905,ATM,Food,Laptop,Pune,9,36,42,0
4937,POS,Luxury,Laptop,Pune,17,29,13,0
23384,Online,Luxury,Laptop,Hyderabad,14,45,39,0
39618,ATM,Travel,Mobile,Bangalore,5,36,20,0
26129,ATM,Grocery,Desktop,Bangalore,19,70,11,0
40381,Online,Luxury,Laptop,Mumbai,17,38,33,0
10618,POS,Grocery,Mobile,Hyderabad,15,42,23,0
9023,ATM,Grocery,Desktop,Hyderabad,9,38,48,0
29707,POS,Luxury,Mobile,Mumbai,21,70,45,0
4180,Online,Electronics,Desktop,Hyderabad,20,24,22,0
17042,Online,Electronics,Laptop,Delhi,18,66,20,0
2938,POS,Travel,Mobile,Hyderabad,18,24,1,0
27803,ATM,Grocery,Desktop,Bangalore,3,46,15,0
18462,ATM,Electronics,Mobile,Hyderabad,0,45,8,0
42963,Online,Electronics,Mobile,Bangalore,4,28,5,0
34516,POS,Grocery,Laptop,Mumbai,4,37,33,0
41203,Online,Luxury,Desktop,Pune,15,57,18,0
49922,Online,Electronics,Laptop,Mumbai,21,49,29,0
25783,POS,Grocery,Desktop,Bangalore,6,29,44,0
47721,ATM,Food,Laptop,Pune,22,62,12,0
25557,POS,Electronics,Desktop,Hyderabad,11,39,21,0
26064,Online,Electronics,Laptop,Mumbai,6,57,26,0
13744,POS,Food,Desktop,Bangalore,17,41,15,0
21578,Online,Grocery,Mobile,Pune,12,31,39,0
3475,Online,Electronics,Desktop,Bangalore,1,33,23,0
6452,Online,Electronics,Laptop,Delhi,0,45,28,0
29460,POS,Electronics,Laptop,Bangalore,1,42,30,0
43311,ATM,Electronics,Mobile,Bangalore,6,52,42,0
49280,POS,Food,Laptop,Hyderabad,11,60,9,0
8352,Online,Grocery,Mobile,Delhi,11,60,20,0
30832,POS,Luxury,Mobile,Pune,10,37,37,0
44729,POS,Travel,Laptop,Delhi,0,31,21,0
23713,Online,Electronics,Desktop,Bangalore,2,20,1,0
46160,Online,Grocery,Laptop,Chennai,20,39,36,0
43520,ATM,Luxury,Mobile,Pune,15,38,32,0
39170,ATM,Luxury,Laptop,Mumbai,15,46,16,0
22898,POS,Luxury,Desktop,Hyderabad,13,61,46,0
42269,ATM,Grocery,Laptop,Delhi,11,27,10,0
2672,Online,Travel,Desktop,Bangalore,2,32,15,0
25779,POS,Luxury,Mobile,Pune,6,69,17,0
4855,ATM,Luxury,Desktop,Chennai,18,48,6,0
47430,Online,Luxury,Laptop,Pune,0,39,37,0
5181,Online,Travel,Laptop,Hyderabad,1,19,12,0
33190,ATM,Travel,Mobile,Bangalore,4,20,33,0
27276,ATM,Food,Mobile,Delhi,7,45,13,0
14917,POS,Grocery,Desktop,Hyderabad,3,66,10,0
30673,ATM,Travel,Laptop,Mumbai,17,18,43,0
30189,ATM,Food,Laptop,Hyderabad,10,69,8,0
37405,Online,Food,Mobile,Mumbai,19,51,26,0
7789,ATM,Travel,Laptop,Delhi,19,51,12,0
38006,POS,Grocery,Desktop,Bangalore,4,37,32,0
28769,ATM,Electronics,Laptop,Bangalore,14,37,21,0
42771,Online,Luxury,Mobile,Bangalore,8,38,18,0
32516,POS,Grocery,Mobile,Delhi,7,24,45,0
44692,POS,Electronics,Mobile,Pune,10,58,4,0
4029,ATM,Food,Laptop,Delhi,1,50,42,0
38829,ATM,Food,Desktop,Delhi,3,50,29,0
8592,POS,Electronics,Laptop,Hyderabad,14,57,18,0
37789,POS,Food,Desktop,Hyderabad,0,21,39,0
24362,ATM,Electronics,Mobile,Pune,15,45,5,0
29715,Online,Electronics,Mobile,Chennai,21,46,26,0
31111,ATM,Electronics,Laptop,Mumbai,5,55,13,0
13482,ATM,Travel,Desktop,Chennai,19,57,48,0
4859,ATM,Electronics,Laptop,Hyderabad,1,25,1,0
37657,POS,Electronics,Mobile,Mumbai,5,25,48,0
21871,ATM,Luxury,Laptop,Bangalore,21,22,14,0
19475,ATM,Food,Desktop,Mumbai,14,40,29,0
41465,Online,Luxury,Mobile,Bangalore,9,41,15,0
10469,ATM,Luxury,Desktop,Delhi,6,34,22,0
330,POS,Food,Desktop,Hyderabad,19,46,39,0
4777,Online,Electronics,Laptop,Bangalore,15,39,37,0
29107,POS,Food,Laptop,Mumbai,0,27,17,0
9769,ATM,Food,Laptop,Chennai,13,43,17,0
8079,POS,Luxury,Laptop,Bangalore,18,67,9,0
47096,Online,Grocery,Laptop,Delhi,11,18,32,0
42736,Online,Grocery,Desktop,Delhi,23,51,15,0
16512,ATM,Food,Desktop,Delhi,8,65,34,0
44767,ATM,Travel,Mobile,Delhi,21,39,14,0
4195,POS,Grocery,Desktop,Bangalore,6,26,16,0
48546,ATM,Food,Desktop,Pune,21,21,2,0
45593,Online,Grocery,Laptop,Bangalore,17,36,41,0
30818,ATM,Travel,Desktop,Mumbai,5,40,31,0
23617,ATM,Electronics,Laptop,Chennai,23,64,48,1
30900,POS,Electronics,Desktop,Mumbai,10,22,27,0
48410,Online,Luxury,Laptop,Pune,12,43,31,0
20301,ATM,Luxury,Desktop,Bangalore,20,40,16,0
32974,Online,Travel,Laptop,Delhi,8,20,19,0
32505,POS,Grocery,Laptop,Chennai,14,44,17,0
40193,Online,Luxury,Mobile,Chennai,9,29,4,0
5822,Online,Travel,Laptop,Delhi,4,27,30,0
28409,Online,Electronics,Laptop,Chennai,20,52,20,0
13340,POS,Travel,Desktop,Hyderabad,20,58,33,0
